Date,Weight
2020-11-16,73.55
2020-11-17,73.55
2020-11-18,73.2
2020-11-19,73.2
2020-11-20,73.15
2020-11-21,73.15
2020-11-22,72.5
2020-11-23,72.4
2020-11-24,72.75
2020-11-25,72.7
2020-11-26,72.45
2020-11-27,72.55
2020-11-28,72.66
2020-11-29,71.85
2020-11-30,72.35
2020-12-01,72.95
2020-12-02,72.35
2020-12-03,71.7
2020-12-04,71.45
2020-12-05,71.3
2020-12-06,72.03
2020-12-07,72.15
2020-12-08,72.35
2020-12-09,71.95
2020-12-10,71.4
2020-12-11,71.45
2020-12-12,70.8
2020-12-13,71.6
2020-12-14,71.4
2020-12-15,71.3
2020-12-16,71.45
2020-12-17,71.1
2020-12-18,70.25
2020-12-19,68.85
2020-12-20,70.55
2020-12-21,70.5
2020-12-22,70.25
2020-12-23,70
2020-12-24,70.25
2020-12-25,69.8
2020-12-26,70.6
2020-12-27,69.95
2020-12-28,70.35
2020-12-29,69.75
2020-12-30,70.7
2020-12-31,69.95
2021-01-01,68.85
2021-01-02,70.35
2021-01-03,70.3
2021-01-04,70.05
2021-01-05,69.35
2021-01-06,69.3
2021-01-07,69.7
2021-01-08,70.1
2021-01-09,69.85
2021-01-10,70.2
2021-01-11,71
2021-01-12,70.9
2021-01-13,69.45
2021-01-14,70.2
2021-01-15,69.55
2021-01-16,68.9
2021-01-17,69.05
2021-01-18,71.1
2021-01-19,69.25
2021-01-20,70.2
2021-01-21,69.1
2021-01-22,69.6
2021-01-23,69.25
2021-01-24,69.25
2021-01-25,69.25
2021-01-26,70.1
2021-01-27,69.5
2021-01-28,69.1
2021-01-29,69
2021-01-30,70.15
2021-01-31,70
2021-02-01,70.2
2021-02-02,69.35
2021-02-03,69.3
2021-02-04,70.9
2021-02-05,69.4
2021-02-06,68.85
2021-02-07,69.5
2021-02-08,70.5
2021-02-09,70.45
2021-02-10,69.85
2021-02-11,69.75
2021-02-12,70.1
2021-02-13,70.8
2021-02-14,70.4
2021-02-15,69.45
2021-02-16,69.45
2021-02-17,70.3
2021-02-18,70.7
2021-02-19,70.3
2021-02-20,70
2021-02-21,70.3
2021-02-22,71.7
2021-02-23,70.9
2021-02-24,70.7
2021-02-25,70.05
2021-02-26,70.3
2021-02-27,71.2
2021-02-28,70.6
2021-03-01,72
2021-03-02,70.5
2021-03-03,71.45
2021-03-04,71.05
2021-03-05,71.7
2021-03-06,71.25
2021-03-07,70.65
2021-03-08,72.15
2021-03-09,72.25
2021-03-10,71
2021-03-11,71.4
2021-03-12,71.65
2021-03-13,71.4
2021-03-14,71.6
2021-03-15,71.85
2021-03-16,71.4
2021-03-17,71.05
2021-03-18,71.55
2021-03-19,71.6
2021-03-20,72.1
2021-03-21,72.1
2021-03-22,72.75
2021-03-23,71.95
2021-03-24,71.6
2021-03-25,72
2021-03-26,71.45
2021-03-27,71.35
2021-03-28,72
2021-03-29,72.1
2021-03-30,71.95
2021-03-31,72.7
2021-04-01,72.05
2021-04-02,71.75
2021-04-03,70.7
2021-04-04,70.75
