Date,Weight,fillWeight,MA
2020-11-16,73.55,73.55,
2020-11-17,73.55,73.55,
2020-11-18,73.2,73.2,
2020-11-19,73.2,73.2,
2020-11-20,73.15,73.15,
2020-11-21,73.15,73.15,
2020-11-22,72.5,72.5,73.18571472167969
2020-11-23,72.4,72.4,73.02142878941127
2020-11-24,72.75,72.75,72.90714263916016
2020-11-25,72.7,72.7,72.83571406773159
2020-11-26,72.45,72.45,72.72857121058873
2020-11-27,72.55,72.55,72.64285714285714
2020-11-28,72.66,72.66,72.57285744803292
2020-11-29,71.85,71.85,72.48000008719308
2020-11-30,72.35,72.35,72.47285679408482
2020-12-01,72.95,72.95,72.50142778669085
2020-12-02,72.35,72.35,72.45142800467355
2020-12-03,71.7,71.7,72.3442851475307
2020-12-04,71.45,71.45,72.18714141845703
2020-12-05,71.3,71.3,71.99285561697823
2020-12-06,72.03,72.03,72.01856994628906
2020-12-07,72.15,72.15,71.98999895368304
2020-12-08,72.35,72.35,71.90428488595145
2020-12-09,71.95,71.95,71.84714181082589
2020-12-10,71.4,71.4,71.80428532191685
2020-12-11,71.45,71.45,71.80428532191685
2020-12-12,70.8,70.8,71.73285675048828
2020-12-13,71.6,71.6,71.67142813546317
2020-12-14,71.4,71.4,71.56428527832031
2020-12-15,71.3,71.3,71.41428593226841
2020-12-16,71.45,71.45,71.34285736083984
2020-12-17,71.1,71.1,71.2999997820173
2020-12-18,70.25,70.25,71.12857164655414
2020-12-19,68.85,68.85,70.8499995640346
2020-12-20,70.55,70.55,70.7000002179827
2020-12-21,70.5,70.5,70.57142857142857
2020-12-22,70.25,70.25,70.42142813546317
2020-12-23,70.0,70.0,70.21428571428571
2020-12-24,70.25,70.25,70.09285736083984
2020-12-25,69.8,69.8,70.02857208251953
2020-12-26,70.6,70.6,70.27857208251953
2020-12-27,69.95,69.95,70.19285692487445
2020-12-28,70.35,70.35,70.17142813546317
2020-12-29,69.75,69.75,70.0999995640346
2020-12-30,70.7,70.7,70.1999991280692
2020-12-31,69.95,69.95,70.15714154924665
2021-01-01,68.85,68.85,70.02142660958427
2021-01-02,70.35,70.35,69.98571232386998
2021-01-03,70.3,70.3,70.03571319580078
2021-01-04,70.05,70.05,69.99285670689174
2021-01-05,69.35,69.35,69.93571363176618
2021-01-06,69.3,69.3,69.73571450369698
2021-01-07,69.7,69.7,69.7000002179827
2021-01-08,70.1,70.1,69.87857164655414
2021-01-09,69.85,69.85,69.80714307512555
2021-01-10,70.2,70.2,69.79285648890904
2021-01-11,71.0,71.0,69.92857033865792
2021-01-12,70.9,70.9,70.1499993460519
2021-01-13,69.45,69.45,70.17142704554966
2021-01-14,70.2,70.2,70.24285561697823
2021-01-15,69.55,69.55,70.16428484235492
2021-01-16,68.9,68.9,70.02857099260602
2021-01-17,69.05,69.05,69.86428615025112
2021-01-18,71.1,71.1,69.87857164655414
2021-01-19,69.25,69.25,69.64285714285714
2021-01-20,70.2,70.2,69.75
2021-01-21,69.1,69.1,69.59285736083984
2021-01-22,69.6,69.6,69.5999995640346
2021-01-23,69.25,69.25,69.6499993460519
2021-01-24,69.25,69.25,69.67857033865792
2021-01-25,69.25,69.25,69.41428484235492
2021-01-26,70.1,70.1,69.53571319580078
2021-01-27,69.5,69.5,69.43571363176618
2021-01-28,69.1,69.1,69.43571363176618
2021-01-29,69.0,69.0,69.3499995640346
2021-01-30,70.15,70.15,69.47857121058873
2021-01-31,70.0,70.0,69.58571406773159
2021-02-01,70.2,70.2,69.72142791748047
2021-02-02,69.35,69.35,69.61428506033761
2021-02-03,69.3,69.3,69.58571406773159
2021-02-04,70.9,70.9,69.84285736083984
2021-02-05,69.4,69.4,69.9000004359654
2021-02-06,68.85,68.85,69.71428571428571
2021-02-07,69.5,69.5,69.64285714285714
2021-02-08,70.5,70.5,69.68571472167969
2021-02-09,70.45,70.45,69.84285736083984
2021-02-10,69.85,69.85,69.92142813546317
2021-02-11,69.75,69.75,69.75714220319476
2021-02-12,70.1,70.1,69.85714176722935
2021-02-13,70.8,70.8,70.13571384974888
2021-02-14,70.4,70.4,70.26428549630302
2021-02-15,69.45,69.45,70.11428506033761
2021-02-16,69.45,69.45,69.97142791748047
2021-02-17,70.3,70.3,70.03571428571429
2021-02-18,70.7,70.7,70.17142813546317
2021-02-19,70.3,70.3,70.2000002179827
2021-02-20,70.0,70.0,70.08571406773159
2021-02-21,70.3,70.3,70.07142857142857
2021-02-22,71.7,71.7,70.39285714285714
2021-02-23,70.9,70.9,70.6000006539481
2021-02-24,70.7,70.7,70.65714263916016
2021-02-25,70.05,70.05,70.56428636823382
2021-02-26,70.3,70.3,70.56428636823382
2021-02-27,71.2,71.2,70.73571450369698
2021-02-28,70.6,70.6,70.77857099260602
2021-03-01,72.0,72.0,70.82142857142857
2021-03-02,70.5,70.5,70.76428549630302
2021-03-03,71.45,71.45,70.87142835344586
2021-03-04,71.05,71.05,71.01428549630302
2021-03-05,71.7,71.7,71.21428462437221
2021-03-06,71.25,71.25,71.22142791748047
2021-03-07,70.65,70.65,71.22857121058873
2021-03-08,72.15,72.15,71.25
2021-03-09,72.25,72.25,71.5
2021-03-10,71.0,71.0,71.43571472167969
2021-03-11,71.4,71.4,71.48571450369698
2021-03-12,71.65,71.65,71.47857230050224
2021-03-13,71.4,71.4,71.50000108991351
2021-03-14,71.6,71.6,71.63571493966239
2021-03-15,71.85,71.85,71.59285736083984
2021-03-16,71.4,71.4,71.47142900739398
2021-03-17,71.05,71.05,71.47857230050224
2021-03-18,71.55,71.55,71.50000108991351
2021-03-19,71.6,71.6,71.49285779680524
2021-03-20,72.1,72.1,71.59285736083984
